,,,,Date,,,,,,,,,,,,,,,,,
,,,,Adoption,,,,,,,,,,,,,,,,,
Trm,Dept/Course,Section,Professor,Received,Author,Title,ISBN,,,,,,,,,,,,,,
F19,COLT 1710C,S01,"Nakayasu, Sawako",4/5/2019,SCHULTE,THEORIES OF TRANSLATION,978-0-226-04871-0,,,,,,,,,,,,,,
F19,COLT 1710C,S01,"Nakayasu, Sawako",4/5/2019,KAZA,KITCHEN TABLE TRANSLATION,978-1-9425470-6-8,,,,,,,,,,,,,,
F19,COLT 1710C,S01,"Nakayasu, Sawako",4/5/2019,QUENEAU,EXERCISES IN STYLE,978-0-8112-2035-4,,,,,,,,,,,,,,
F19,COLT 1710C,S01,"Nakayasu, Sawako",4/5/2019,POLIZZOTTI,SYMPATHY FOR TRAITOR,978-0-262-03799-0,,,,,,,,,,,,,,
F19,COLT 1710C,S01,"Nakayasu, Sawako",4/5/2019,ALLEN,IN TRANSLATION,978-0-231-15969-2,,,,,,,,,,,,,,
F19,COLT 1710C,S01,"Nakayasu, Sawako",4/5/2019,ESTHER,IN TRANSLATION,978-0-231-53502-1,,,,,,,,,,,,,,
F19,COLT 1710C,S01,"Nakayasu, Sawako",4/5/2019,BRIGGS,THIS LITTLE ART,978-1-9106954-5-6,,,,,,,,,,,,,,
F19,COLT 1710C,S01,"Nakayasu, Sawako",4/5/2019,MOURE,SECESSION/INSECESSION,978-1-7716603-4-1,,,,,,,,,,,,,,
F19,COLT 1710C,S01,"Nakayasu, Sawako",4/5/2019,HOOVER,SONNET 56,978-1-9342541-2-7,,,,,,,,,,,,,,
F19,COLT 1710C,S01,"Nakayasu, Sawako",4/5/2019,PATTERSON,CHRONOLOGY,978-1-9464330-2-2,,,,,,,,,,,,,,
F19,COLT 1710C,S01,"Nakayasu, Sawako",4/5/2019,WALDROP,LAVISH ABSENCE,978-0-8195-6580-8,,,,,,,,,,,,,,
F19,COLT 1815L,S01,"Newman, Karen A.",4/11/2019,AUSTEN,PRIDE+PREJUDICE,978-0-14-143951-8,,,,,,,,,,,,,,
F19,COLT 1815L,S01,"Newman, Karen A.",4/11/2019,EUGENIDES,MARRIAGE PLOT,978-1-2500147-6-4,,,,,,,,,,,,,,
F19,COLT 1815L,S01,"Newman, Karen A.",4/11/2019,JEFFREY EUGENI,THE MARRIAGE PLOT,978-1-4299691-8-5,,,,,,,,,,,,,,
F19,COLT 1815L,S01,"Newman, Karen A.",4/11/2019,BRONTE,JANE EYRE,978-0-553-21140-5,,,,,,,,,,,,,,
F19,COLT 1815L,S01,"Newman, Karen A.",4/11/2019,DELAFAYETTE,PRINCESSE DE CLEVES (9539178),978-0-19-953917-8,,,,,,,,,,,,,,
F19,COLT 1815L,S01,"Newman, Karen A.",4/11/2019,FLAUBERT,MADAME BOVARY,978-0-14-310649-4,,,,,,,,,,,,,,
F19,COLT 1815L,S01,"Newman, Karen A.",4/11/2019,JAMES,PORTRAIT OF A LADY,978-0-14-144126-9,,,,,,,,,,,,,,
F19,COLT 1815L,S01,"Newman, Karen A.",4/11/2019,WHARTON,HOUSE OF MIRTH,978-0-14-018729-8,,,,,,,,,,,,,,
F19,COLT 1815L,S01,"Newman, Karen A.",4/11/2019,JONES,AMERICAN MARRIAGE,978-1-6162087-7-6,,,,,,,,,,,,,,
F19,CSCI 0330,S01,"Doeppner, Thomas W.",4/10/2019,BRYANT,COMPUTER SYSTEMS:PROGRAMMER'S PERSP.,978-0-13-409266-9,,,,,,,,,,,,,,
F19,CSCI 1410,S01,"Konidaris, George D",4/11/2019,RUSSELL,ARTIFICIAL INTELLIGENCE,978-0-13-604259-4,,,,,,,,,,,,,,
F19,CSCI 1450,S01,"Upfal, Eliezer",4/10/2019,BERTSEKAS,INTRODUCTION TO PROBABILITY,978-1-8865292-3-6,,,,,,,,,,,,,,
F19,CSCI 1470,S01,"Ritchie, Daniel C",4/11/2019,CHARNIAK,INTRODUCTION TO DEEP LEARNING,978-0-262-03951-2,,,,,,,,,,,,,,
F19,CSCI 1570,S01,"Klein, Philip",4/12/2019,DASGUPTA,ALGORITHMS,978-0-07-352340-8,,,,,,,,,,,,,,
F19,CSCI 1570,S01,"Klein, Philip",4/12/2019,DASGUPTA,ALGORITHMS,978-0-07-738849-2,,,,,,,,,,,,,,
F19,CSCI 1600,S01,"Reiss, Steven P.",4/10/2019,ALUR,PRINCIPLES OF CYBER-PHYSICAL SYSTEMS,978-0-262-02911-7,,,,,,,,,,,,,,
F19,CSCI 1870,S01,"Hurley, Deborah",4/11/2019,SANDEL,JUSTICE:WHAT'S THE RIGHT THING TO DO,978-0-374-53250-5,,,,,,,,,,,,,,
F19,CSCI 2470,S01,"Ritchie, Daniel C",4/11/2019,CHARNIAK,INTRODUCTION TO DEEP LEARNING,978-0-262-03951-2,,,,,,,,,,,,,,
F19,CSCI 2951F,S01,"Littman, Michael L.",4/11/2019,SUTTON,REINFORCEMENT LEARNING,978-0-262-03924-6,,,,,,,,,,,,,,
F19,ECON 0170,S01,"Poterack, Alex",4/10/2019,SYDSAETER,ESSENTIAL MATH.F/ECONOMIC ANALYSIS,978-1-2920746-1-0,,,,,,,,,,,,,,
F19,ECON 0710,S01,"Sciuto, Frank",4/11/2019,WARREN,FINANCIAL ACCOUNTING,978-1-3372721-2-4,,,,,,,,,,,,,,
F19,ECON 0710,S01,"Sciuto, Frank",4/11/2019,"WARREN, CARL S",FINANCIAL ACCOUNTING,978-1-3375155-0-4,,,,,,,,,,,,,,
